rps,diff_begin,diff_end,diff_max
25000,1220,1467,1643
50000,1125,1437,1437
100000,1122,638,1525
125000,1105,1599,1727
150000,1123,902,1872
175000,1111,1305,2856
200000,1105,2519,4152
225000,1114,4428,7471
250000,1101,8175,14981
275000,1093,12448,19597
300000,1107,13669,21180
325000,1113,16943,23369
350000,1114,17898,24631
375000,1110,20283,26582
400000,1098,19381,26019
425000,1111,22336,28278
450000,1104,24988,29754
475000,1096,24847,29197
500000,1090,26781,31304
600000,1095,29150,31852
700000,1097,28945,30747
800000,1104,32781,33156
900000,1099,33675,33766
1000000,1095,33753,34159
